geracao;minFitness;maxFitness;avgFitness;time
254;18407;26098;20248;1.901593
255;18407;26002;20284;1.905683
256;18407;25853;20479;1.910094
257;18399;25967;20311;1.914639
258;18386;26368;20423;1.919781
259;18386;26008;20253;1.924988
260;18382;26276;20389;1.931253
261;18382;26355;20307;1.937538
262;18370;26105;20516;1.943803
263;18370;25686;20293;1.950341
264;18203;26725;20271;1.956786
265;18203;26042;20333;1.963792
266;18203;26325;20131;1.970994
267;18203;26102;20407;1.978564
268;18183;26400;20261;1.985997
269;18183;26366;20270;1.993459
270;18157;25927;20008;2.001861
271;18157;26178;19950;2.010213
272;18117;25725;20046;2.018606
273;18117;26309;19928;2.027373
274;18090;26213;20038;2.035777
275;18090;25944;20094;2.044221
276;18090;25938;19996;2.052432
277;18090;26164;19693;2.060590
278;18072;26258;19952;2.068702
279;18072;25847;20011;2.075271
280;18072;26131;20007;2.080833
281;18072;26168;19897;2.086935
282;18065;26212;20004;2.094087
283;18065;25804;20104;2.101137
284;18065;26289;19905;2.108283
285;18065;26266;20260;2.115470
286;18065;26189;19898;2.122731
287;18065;26102;20092;2.129918
288;18065;26032;20046;2.137274
289;18065;26053;20048;2.144398
290;18065;26190;20063;2.151755
291;18065;26062;20269;2.158937
292;18065;26384;20151;2.166252
293;18003;26011;20157;2.173496
294;17976;26244;20043;2.180825
295;17976;25408;19781;2.188267
296;17955;26075;20027;2.195877
297;17950;25878;20155;2.203390
298;17944;26076;19896;2.211473
299;17934;26218;20052;2.219502
300;17934;26652;20036;2.227870
301;17921;26483;19951;2.236132
302;17889;25604;20015;2.244275
303;17889;26097;19956;2.252396
304;17889;26088;19819;2.260515
305;17889;25963;19999;2.268271
306;17889;26463;20024;2.275935
307;17889;26100;19706;2.281631
308;17889;26138;19794;2.286849
309;17889;26143;19940;2.291667
310;17889;26013;19949;2.295940
311;17889;26080;19854;2.299964
312;17889;26153;19899;2.303906
313;17889;26181;19933;2.307477
314;17889;26039;19686;2.310982
315;17889;25781;19926;2.314573
316;17889;25926;19943;2.318183
317;17889;26280;20097;2.321822
318;17889;25794;20040;2.325402
319;17889;26210;20059;2.328992
320;17889;25957;20064;2.332585
321;17889;25807;20157;2.336525
322;17889;26178;19736;2.340681
323;17889;26191;20126;2.345197
324;17889;25534;19829;2.349950
325;17889;26058;19674;2.354990
326;17874;26341;19862;2.360534
327;17874;26182;19971;2.366685
328;17874;26374;19945;2.373819
329;17874;25974;20121;2.381108
330;17874;26974;19908;2.388284
331;17874;26226;20176;2.395418
332;17874;26164;20148;2.402816
333;17874;25753;20058;2.410004
334;17859;26102;19735;2.417116
335;17859;26096;20293;2.425117
336;17823;26209;19642;2.433384
337;17823;26134;20048;2.441745
338;17781;25905;20046;2.450499
339;17781;26100;20191;2.458936
340;17764;26163;19914;2.467389
341;17764;26465;20069;2.476079
342;17764;26425;19992;2.484926
343;17764;26012;19842;2.493479
344;17725;26515;19914;2.502094
345;17725;26089;19667;2.510502
346;17716;26346;20034;2.519004
347;17682;26626;19958;2.527201
348;17682;26042;19751;2.535480
349;17682;25593;19427;2.543733
350;17658;26249;19361;2.551839
351;17658;26685;19716;2.560001
352;17658;26397;20003;2.568494
353;17658;25903;19976;2.577188
354;17658;25916;19546;2.585344
355;17658;26157;19766;2.593002
356;17658;25938;19829;2.600657
357;17658;26060;19922;2.608507
358;17633;26341;19876;2.616016
359;17633;26832;19744;2.624003
360;17633;26601;19915;2.632081
361;17633;26558;19893;2.640406
362;17618;26178;19836;2.648962
363;17558;26254;19660;2.657204
364;17542;26074;19678;2.665603
365;17542;25872;19688;2.674081
366;17542;26252;19733;2.682926
367;17542;26230;19780;2.691179
368;17542;26639;19826;2.699698
369;17542;25923;19693;2.707920
370;17542;26274;19702;2.716072
371;17542;25871;19629;2.724118
372;17436;25853;19652;2.732008
373;17436;26751;19935;2.739563
374;17436;26213;19688;2.747251
375;17436;26037;19993;2.754942
376;17436;26170;19861;2.762842
377;17436;26851;19681;2.770780
378;17413;25931;19562;2.778742
379;17345;26167;19618;2.786575
380;17345;26582;19733;2.794667
381;17345;26464;19706;2.802533
382;17345;26107;19450;2.810694
383;17330;26166;19629;2.818810
384;17320;25749;19474;2.826856
385;17320;26118;19563;2.834653
386;17320;25879;19328;2.842552
387;17286;25957;19529;2.850231
388;17286;26172;19770;2.858082
389;17279;25972;19482;2.866288
390;17279;26603;19500;2.874737
391;17263;26289;19590;2.883005
392;17251;26205;19778;2.891123
393;17251;25902;19513;2.899437
394;17249;26077;19575;2.907493
395;17235;26104;19422;2.915844
396;17221;26380;19091;2.923938
397;17221;26471;19278;2.932402
398;17221;26307;19543;2.940506
399;17221;26415;19524;2.949452
400;17221;26105;19536;2.957967
401;17178;25867;19554;2.966620
402;17178;26147;19350;2.975579
403;17146;26272;19257;2.985080
404;17146;25953;19686;2.994656
405;17146;26462;19295;3.004100
406;17141;26184;19492;3.013487
407;17130;25759;19431;3.022661
408;17130;26216;18913;3.031675
409;17107;25973;19021;3.040771
410;17107;26078;19249;3.048140
411;17091;26349;19418;3.055347
412;17091;25877;19178;3.062339
413;17075;26347;19396;3.069592
414;17071;26350;19452;3.076879
415;17050;26044;19430;3.084122
416;16999;26666;19502;3.091465
417;16999;26242;19289;3.098887
418;16999;26477;19416;3.106396
419;16991;26336;19197;3.113888
420;16872;26725;19106;3.121302
421;16872;26324;19338;3.128700
422;16872;26563;19428;3.136184
423;16844;26916;19109;3.143422
424;16844;26008;18963;3.150598
425;16844;26313;19218;3.157814
426;16844;26089;19144;3.165049
427;16844;26041;19235;3.172291
428;16812;26514;19213;3.179344
429;16812;25743;18763;3.186494
430;16812;26127;18957;3.193532
431;16812;25594;18869;3.200823
432;16812;26341;19136;3.207811
433;16750;26328;19040;3.215232
434;16694;26410;19083;3.222389
435;16694;26415;18830;3.229934
436;16694;25912;18931;3.237220
437;16694;26471;18970;3.245275
438;16694;25895;19119;3.252562
439;16694;26198;19133;3.259870
440;16694;25714;19374;3.267170
441;16694;26084;18910;3.274822
442;16694;26704;19326;3.282966
443;16694;26165;19146;3.290994
444;16694;25970;19236;3.297627
445;16694;26348;18774;3.303536
446;16694;26213;19205;3.311119
447;16694;26333;18918;3.316201
448;16694;26429;18803;3.320520
449;16694;26796;19184;3.324573
450;16694;25915;19225;3.328488
451;16694;26250;18883;3.332182
452;16694;26390;19274;3.335948
453;16647;25972;19074;3.339646
454;16647;26600;18844;3.343362
455;16647;26058;19010;3.347100
456;16647;26268;19168;3.350776
457;16647;25950;19113;3.354463
458;16638;25821;18914;3.358105
459;16638;26478;19211;3.361752
460;16638;26455;19129;3.365476
461;16638;26592;19389;3.369345
462;16638;26111;18899;3.373019
463;16638;26158;19104;3.376666
464;16638;26178;19077;3.380288
465;16638;26332;19015;3.384003
466;16635;25968;19206;3.387663
467;16635;25798;18849;3.391277
468;16635;26160;19227;3.394915
469;16635;26229;18869;3.398645
470;16635;26049;18939;3.403234
471;16635;26422;18801;3.407794
472;16635;26436;18637;3.412976
473;16635;25974;19087;3.418685
474;16635;26678;18706;3.424868
475;16635;25917;18541;3.431086
476;16635;26403;18942;3.437295
477;16635;26351;19004;3.444456
478;16635;26175;18966;3.453168
479;16635;26040;18901;3.462802
480;16635;26938;19056;3.470645
481;16635;26416;18661;3.477514
482;16635;26090;18943;3.484488
483;16635;26218;19021;3.491524
484;16635;26046;19220;3.498650
485;16606;26943;19290;3.505775
486;16606;25757;19098;3.512983
487;16606;26068;18702;3.520060
488;16606;26287;19270;3.527303
489;16604;26571;18789;3.534303
490;16604;26428;19092;3.541596
491;16604;26284;18777;3.548823
492;16604;26348;19059;3.556208
493;16604;25980;19012;3.563505
494;16604;26235;18935;3.570774
495;16563;26327;18759;3.577837
496;16563;26992;18995;3.584967
497;16563;25950;19191;3.592359
498;16535;26328;18936;3.599496
499;16535;26338;19009;3.606931
500;16535;26366;18818;3.614393
501;16524;26132;19210;3.621823
502;16521;26589;18800;3.629678
503;16510;25823;18643;3.637925
504;16487;25806;18975;3.645820
505;16487;26240;18771;3.653686
506;16487;26337;18730;3.661455
507;16470;26529;19152;3.669589
508;16458;26281;19172;3.677733
509;16458;26415;18944;3.685796
510;16433;25803;18981;3.693686
511;16422;26418;18837;3.701567
512;16422;26340;18548;3.709274
513;16399;26360;18897;3.717081
514;16399;26114;18432;3.724509
515;16399;26572;18953;3.732119
516;16399;26178;19196;3.739748
517;16399;25667;19123;3.747437
518;16399;26082;18775;3.755110
519;16399;26379;18943;3.762859
520;16399;26234;18814;3.770399
521;16396;26187;18817;3.778198
522;16384;26119;18872;3.785805
523;16362;26140;18716;3.793539
524;16362;25924;18755;3.801138
525;16362;25883;18999;3.808857
526;16362;26142;18794;3.816519
527;16347;26225;18631;3.824159
528;16347;26022;18961;3.831792
529;16347;26127;18875;3.839819
530;16347;25864;18478;3.847664
531;16347;26077;18474;3.855497
532;16347;26460;18525;3.863027
533;16347;26633;18585;3.870596
534;16347;26213;18425;3.878191
535;16347;26166;18495;3.886202
536;16347;25906;18666;3.893699
537;16347;26493;18657;3.901236
538;16347;25683;18446;3.908614
539;16347;26280;18587;3.916059
540;16347;25725;18741;3.923444
541;16347;26017;18777;3.930969
542;16347;26456;18580;3.938461
543;16347;26420;18701;3.946237
544;16347;26728;18917;3.953787
545;16347;26158;18739;3.961536
546;16347;25888;18718;3.969240
547;16347;26387;18854;3.976899
548;16347;25825;18902;3.984452
549;16347;26062;18626;3.992088
550;16328;26061;18825;3.999772
551;16328;26572;19040;4.007469
552;16328;26299;18653;4.015229
553;16328;26529;18758;4.023106
554;16282;25862;18780;4.030734
555;16262;26397;19429;4.038717
556;16262;26241;18797;4.046621
557;16262;26256;18733;4.054596
558;16262;26063;18829;4.062231
559;16262;26157;18764;4.070035
560;16262;26227;18674;4.077591
561;16262;25799;19120;4.085667
562;16262;26385;18937;4.093984
563;16224;26719;18457;4.102380
564;16224;26220;18845;4.110709
565;16206;26400;18712;4.119390
566;16206;26086;18555;4.127826
567;16149;26183;18932;4.136566
568;16129;26196;19088;4.145329
569;16129;26370;19106;4.154387
570;16129;25953;18479;4.163057
571;16109;25868;18191;4.171033
572;16109;26124;18904;4.179407
573;16109;26237;18864;4.187623
574;16109;26021;18990;4.196087
575;16109;26002;18401;4.204154
576;16109;25953;18818;4.212346
577;16109;26949;18802;4.220451
578;16109;26298;18760;4.228654
579;16109;26150;18723;4.237143
580;16109;26069;18678;4.245777
581;16109;26354;18473;4.254279
582;16073;26204;18652;4.262860
583;16073;26738;18414;4.270985
584;16073;25973;18397;4.278566
585;16073;26525;18553;4.286144
586;16073;26240;19187;4.294348
587;16073;25917;18605;4.301948
588;16073;26270;18242;4.309363
589;16073;26196;18396;4.316800
590;16073;26262;18736;4.324407
591;16073;26026;18759;4.332051
592;16073;26326;18922;4.340230
593;16059;26520;18816;4.348099
594;16059;26130;18528;4.356063
595;16059;26531;18785;4.363772
596;16057;26098;18544;4.371614
597;16043;26866;18556;4.379256
598;16043;25881;18347;4.387076
599;16043;26609;18346;4.394682
600;16043;25826;18324;4.402256
601;16043;26361;18402;4.408935
602;16043;26411;18654;4.415566
603;16043;25955;19017;4.422752
604;16043;26140;18624;4.430059
605;16043;26152;18645;4.437099
606;16043;25965;19140;4.444512
607;16043;26035;18801;4.452637
608;16043;26513;18600;4.461182
609;16043;26533;18671;4.469260
610;16043;26365;18342;4.477455
611;16043;26028;18533;4.486060
612;16043;25948;18506;4.494727
613;16043;26036;19025;4.503060
614;16043;26280;18355;4.511268
615;16043;26377;18624;4.519354
616;16043;26217;18246;4.527946
617;16043;26014;18659;4.536151
618;16043;26865;18674;4.544418
619;16043;26319;18603;4.552201
620;16043;25906;18765;4.558624
621;16043;25868;18743;4.564023
622;16043;25871;18386;4.569170
623;16043;26324;18352;4.573331
624;16043;26224;18432;4.577473
625;16043;26199;18511;4.581097
626;16041;26563;18615;4.584828
627;16041;26500;18421;4.588433
628;16041;26024;18810;4.592004
629;16018;26564;18781;4.595616
630;16018;26107;18449;4.599224
631;16007;26347;18626;4.603329
632;16003;26546;18549;4.607701
633;16003;26042;18648;4.612469
634;16003;27321;18553;4.617487
635;16003;26461;18543;4.622690
636;15979;26505;18551;4.628833
637;15979;26594;18360;4.635564
638;15979;26181;18177;4.642813
639;15979;26059;18155;4.650544
640;15979;25822;18599;4.657864
641;15979;25536;18854;4.665359
642;15979;26046;19276;4.672728
643;15947;26283;18684;4.680207
644;15947;26018;18414;4.687473
645;15947;26337;18262;4.694770
646;15947;26118;18494;4.701918
647;15947;26125;18513;4.708945
648;15947;26279;18455;4.716101
649;15947;26515;18626;4.722896
650;15947;25991;18550;4.728531
651;15947;26346;18440;4.733539
652;15947;25892;18775;4.738184
653;15947;26477;18662;4.742508
654;15947;25913;18526;4.746495
655;15947;26122;18757;4.750265
656;15947;26206;18579;4.753799
657;15947;26363;18419;4.758222
658;15947;26463;18398;4.763314
659;15922;26062;18559;4.768723
660;15922;26767;18601;4.774277
661;15922;25813;18544;4.779446
662;15922;26519;18400;4.784621
663;15908;26380;18505;4.790839
